wavelength [nm],absorbance
507.63576, 0.08565388
507.65077, 0.09121577
507.66577, 0.09759872
507.68077, 0.10480693
507.69577, 0.11284423
507.71077, 0.12171363
507.72577, 0.13141683
507.74077, 0.14195375
507.75578, 0.15332197
507.77078, 0.16551620
507.78578, 0.17852777
507.80078, 0.19234404
507.81578, 0.20694794
507.83078, 0.22231743
507.84578, 0.23842510
507.86079, 0.25523772
507.87579, 0.27271590
507.89079, 0.29081382
507.90579, 0.30947900
507.92079, 0.32865218
507.93579, 0.34826730
507.95080, 0.36825154
507.96580, 0.38852549
507.98080, 0.40900342
507.99580, 0.42959366
508.01080, 0.45019906
508.02580, 0.47071761
508.04080, 0.49104310
508.05581, 0.51106595
508.07081, 0.53067402
508.08581, 0.54975363
508.10081, 0.56819053
508.11581, 0.58587101
508.13081, 0.60268300
508.14581, 0.61851725
508.16082, 0.63326842
508.17582, 0.64683627
508.19082, 0.65912675
508.20582, 0.67005312
508.22082, 0.67953688
508.23582, 0.68750878
508.25083, 0.69390960
508.26583, 0.69869093
508.28083, 0.70181572
508.29583, 0.70325881
508.31083, 0.70300725
508.32583, 0.70106046
508.34083, 0.69743031
508.35584, 0.69214099
508.37084, 0.68522872
508.38584, 0.67674142
508.40084, 0.66673806
508.41584, 0.65528806
508.43084, 0.64247048
508.44584, 0.62837310
508.46085, 0.61309142
508.47585, 0.59672765
508.49085, 0.57938951
508.50585, 0.56118915
508.52085, 0.54224189
508.53585, 0.52266508
508.55086, 0.50257692
508.56586, 0.48209531
508.58086, 0.46133677
508.59586, 0.44041538
508.61086, 0.41944186
508.62586, 0.39852268
508.64086, 0.37775927
508.65587, 0.35724736
508.67087, 0.33707643
508.68587, 0.31732921
508.70087, 0.29808138
508.71587, 0.27940129
508.73087, 0.26134989
508.74587, 0.24398066
508.76088, 0.22733972
508.77588, 0.21146598
508.79088, 0.19639140
508.80588, 0.18214134
508.82088, 0.16873493
508.83588, 0.15618553
508.85089, 0.14450123
508.86589, 0.13368538
508.88089, 0.12373715
508.89589, 0.11465211
508.91089, 0.10642278
508.92589, 0.09903928
508.94089, 0.09248980
508.95590, 0.08676124
508.97090, 0.08183968
508.98590, 0.07771087
509.00090, 0.07436075
509.01590, 0.07177576
509.03090, 0.06994332
509.04590, 0.06885205
509.06091, 0.06849210
509.07591, 0.06885532
509.09091, 0.06993545
509.10591, 0.07172820
509.12091, 0.07423124
509.13591, 0.07744426
509.15092, 0.08136883
509.16592, 0.08600827
509.18092, 0.09136746
509.19592, 0.09745256
509.21092, 0.10427075
509.22592, 0.11182982
509.24092, 0.12013779
509.25593, 0.12920245
509.27093, 0.13903090
509.28593, 0.14962897
509.30093, 0.16100074
509.31593, 0.17314793
509.33093, 0.18606935
509.34593, 0.19976031
509.36094, 0.21421204
509.37594, 0.22941115
509.39094, 0.24533907
509.40594, 0.26197161
509.42094, 0.27927846
509.43594, 0.29722286
509.45095, 0.31576121
509.46595, 0.33484290
509.48095, 0.35441013
509.49595, 0.37439785
509.51095, 0.39473380
509.52595, 0.41533870
509.54095, 0.43612649
509.55596, 0.45700472
509.57096, 0.47787508
509.58596, 0.49863395
509.60096, 0.51917322
509.61596, 0.53938103
509.63096, 0.55914274
509.64596, 0.57834197
509.66097, 0.59686163
509.67597, 0.61458511
509.69097, 0.63139745
509.70597, 0.64718657
509.72097, 0.66184451
509.73597, 0.67526862
509.75098, 0.68736276
509.76598, 0.69803845
509.78098, 0.70721593
509.79598, 0.71482515
509.81098, 0.72080666
509.82598, 0.72511235
509.84098, 0.72770611
509.85599, 0.72856433
509.87099, 0.72767617
509.88599, 0.72504384
509.90099, 0.72068254
509.91599, 0.71462033
509.93099, 0.70689787
509.94599, 0.69756788
509.96100, 0.68669464
509.97600, 0.67435313
509.99100, 0.66062825
510.00600, 0.64561381
510.02100, 0.62941144
510.03600, 0.61212949
510.05101, 0.59388177
510.06601, 0.57478637
510.08101, 0.55496433
510.09601, 0.53453845
510.11101, 0.51363200
510.12601, 0.49236755
510.14101, 0.47086579
510.15602, 0.44924447
510.17102, 0.42761741
510.18602, 0.40609356
510.20102, 0.38477624
510.21602, 0.36376239
510.23102, 0.34314206
510.24602, 0.32299788
510.26103, 0.30340477
510.27603, 0.28442967
510.29103, 0.26613144
510.30603, 0.24856090
510.32103, 0.23176083
510.33603, 0.21576628
510.35104, 0.20060476
510.36604, 0.18629665
510.38104, 0.17285561
510.39604, 0.16028908
510.41104, 0.14859881
510.42604, 0.13778144
510.44104, 0.12782908
510.45605, 0.11872998
510.47105, 0.11046911
510.48605, 0.10302883
510.50105, 0.09638949
510.51605, 0.09053008
510.53105, 0.08542876
510.54605, 0.08106349
510.56106, 0.07741251
510.57606, 0.07445486
510.59106, 0.07217083
510.60606, 0.07054236
510.62106, 0.06955340
510.63606, 0.06919020
510.65107, 0.06944160
510.66607, 0.07029918
510.68107, 0.07175745
510.69607, 0.07381386
510.71107, 0.07646889
510.72607, 0.07972594
510.74107, 0.08359128
510.75608, 0.08807383
510.77108, 0.09318498
510.78608, 0.09893824
510.80108, 0.10534896
510.81608, 0.11243385
510.83108, 0.12021055
510.84608, 0.12869715
510.86109, 0.13791156
510.87609, 0.14787097
510.89109, 0.15859117
510.90609, 0.17008594
510.92109, 0.18236633
510.93609, 0.19543996
510.95110, 0.20931040
510.96610, 0.22397641
510.98110, 0.23943134
510.99610, 0.25566250
511.01110, 0.27265057
511.02610, 0.29036912
511.04110, 0.30878414
511.05611, 0.32785369
511.07111, 0.34752764
511.08611, 0.36774751
511.10111, 0.38844640
511.11611, 0.40954912
511.13111, 0.43097232
511.14611, 0.45262485
511.16112, 0.47440823
511.17612, 0.49621723
511.19112, 0.51794060
511.20612, 0.53946187
511.22112, 0.56066038
511.23612, 0.58141227
511.25113, 0.60159168
511.26613, 0.62107197
511.28113, 0.63972699
511.29613, 0.65743248
511.31113, 0.67406734
511.32613, 0.68951506
511.34113, 0.70366503
511.35614, 0.71641386
511.37114, 0.72766662
511.38614, 0.73733798
511.40114, 0.74535329
511.41614, 0.75164951
511.43114, 0.75617602
511.44614, 0.75889527
511.46115, 0.75978327
511.47615, 0.75882992
511.49115, 0.75603916
511.50615, 0.75142894
511.52115, 0.74503103
511.53615, 0.73689061
511.55116, 0.72706574
511.56616, 0.71562668
511.58116, 0.70265503
511.59616, 0.68824271
511.61116, 0.67249095
511.62616, 0.65550904
511.64116, 0.63741308
511.65617, 0.61832467
511.67117, 0.59836958
511.68617, 0.57767632
511.70117, 0.55637484
511.71617, 0.53459519
511.73117, 0.51246618
511.74617, 0.49011423
511.76118, 0.46766216
511.77618, 0.44522820
511.79118, 0.42292497
511.80618, 0.40085870
511.82118, 0.37912848
511.83618, 0.35782571
511.85119, 0.33703358
511.86619, 0.31682678
511.88119, 0.29727128
511.89619, 0.27842424
511.91119, 0.26033402
511.92619, 0.24304038
511.94119, 0.22657464
511.95620, 0.21096009
511.97120, 0.19621238
511.98620, 0.18233998
512.00120, 0.16934480
512.01620, 0.15722271
512.03120, 0.14596425
512.04620, 0.13555528
512.06121, 0.12597765
512.07621, 0.11720990
